date,spy,vix,sp20vol
2007-01-03,141.37,12.04,0.067240284
2007-01-04,141.67,11.51,0.060005689
2007-01-05,140.54,12.14,0.062456707
2007-01-08,141.19,12,0.062857691
2007-01-09,141.07,11.91,0.061132114
2007-01-10,141.54,11.47,0.061179317
2007-01-11,142.16,10.87,0.064628002
2007-01-12,143.24,10.15,0.0662632
2007-01-16,142.96,10.74,0.066240771
2007-01-17,143.02,10.59,0.059204985
2007-01-18,142.54,10.85,0.060122233
2007-01-19,142.82,10.4,0.059712506
2007-01-22,142.38,10.77,0.062396944
2007-01-23,142.8,10.34,0.063465535
2007-01-24,143.95,9.89,0.068236111
2007-01-25,142.26,11.22,0.077874169
2007-01-26,142.16,11.13,0.076694689
2007-01-29,142.05,11.45,0.072415962
2007-01-30,142.79,10.96,0.075247576
2007-01-31,143.75,10.42,0.076428926
2007-02-01,144.61,10.31,0.077786363
2007-02-02,144.81,10.08,0.077819165
2007-02-05,144.85,10.55,0.073592615
2007-02-06,144.89,10.65,0.07354292
2007-02-07,145.21,10.32,0.073249748
2007-02-08,145.02,10.44,0.073743517
2007-02-09,143.94,11.1,0.07661448
2007-02-12,143.45,11.61,0.075923074
2007-02-13,144.66,10.34,0.08044875
2007-02-14,145.61,10.23,0.084189888
2007-02-15,145.8,10.22,0.082958536
2007-02-16,145.73,10.02,0.082936451
2007-02-20,146.04,10.24,0.079891992
2007-02-21,145.98,10.2,0.079969713
2007-02-22,145.87,10.18,0.075142302
2007-02-23,145.3,10.58,0.063039654
2007-02-26,145.17,11.15,0.063060898
2007-02-27,139.5,18.31,0.141619018
2007-02-28,140.93,15.42,0.141492401
2007-03-01,140.51,15.82,0.13891456
2007-03-02,138.67,18.61,0.141150897
2007-03-05,137.35,19.63,0.142753263
2007-03-06,139.7,15.96,0.156527591
2007-03-07,139.56,15.24,0.156269558
2007-03-08,140.74,14.29,0.159181683
2007-03-09,140.78,14.09,0.159388989
2007-03-12,140.99,13.99,0.158658817
2007-03-13,138.25,18.13,0.172800854
2007-03-14,139.28,17.27,0.17216808
2007-03-15,139.47,16.43,0.169796188
2007-03-16,138.53,16.79,0.169460518
2007-03-19,140.2,14.59,0.175892096
2007-03-20,140.97,13.27,0.177545169
2007-03-21,143.29,12.19,0.189582668
2007-03-22,143.18,12.93,0.189586106
2007-03-23,143.39,12.95,0.189369502
2007-03-26,143.2,13.11,0.189409217
2007-03-27,142.86,13.48,0.14180621
2007-03-28,141.82,14.98,0.14425037
2007-03-29,141.97,15.14,0.144254068
2007-03-30,142,14.64,0.137247948
2007-04-02,142.16,14.53,0.131390319
2007-04-03,143.69,13.46,0.124494457
2007-04-04,143.85,13.24,0.123617926
2007-04-05,144.24,13.23,0.122083812
2007-04-09,144.44,13.14,0.122092169
2007-04-10,144.61,12.68,0.122084193
2007-04-11,144.02,13.49,0.096449495
2007-04-12,144.66,12.71,0.096163831
2007-04-13,145.32,12.2,0.096125158
2007-04-16,146.7,11.98,0.097911841
2007-04-17,147.09,12.14,0.093217916
2007-04-18,147.27,12.42,0.092234647
2007-04-19,147.23,12.54,0.074023816
2007-04-20,148.62,12.07,0.078982454
2007-04-23,148.06,13.04,0.0802504
2007-04-24,148.12,13.12,0.080513437
2007-04-25,149.48,13.21,0.080742523
2007-04-26,149.65,12.79,0.072203671
2007-04-27,149.53,12.45,0.072735786
2007-04-30,148.29,14.22,0.08057094
2007-05-01,148.67,13.51,0.0805753
2007-05-02,149.54,13.08,0.077843725
2007-05-03,150.35,13.09,0.078194783
2007-05-04,150.92,12.91,0.078123602
2007-05-07,150.95,13.15,0.077927362
2007-05-08,150.75,13.21,0.078817306
2007-05-09,151.16,12.88,0.072028927
2007-05-10,149.58,13.6,0.091290459
2007-05-11,150.86,12.95,0.095577802
2007-05-14,150.53,13.96,0.090371705
2007-05-15,150.57,14.01,0.090715824
2007-05-16,151.6,13.5,0.094628497
2007-05-17,151.3,13.51,0.094529745
2007-05-18,152.62,12.76,0.092052222
2007-05-21,152.54,13.3,0.091065561
2007-05-22,152.42,13.02,0.091149383
2007-05-23,152.44,13.24,0.085566515
2007-05-24,151.06,14.08,0.093398683
2007-05-25,151.69,13.34,0.095021594
2007-05-29,152.24,13.53,0.089476616
2007-05-30,153.48,12.83,0.092566818
2007-05-31,153.32,13.05,0.090726309
2007-06-01,154.08,12.78,0.090478132
2007-06-04,154.1,13.29,0.090439549
2007-06-05,153.49,13.63,0.093083391
2007-06-06,151.84,14.87,0.098978831
2007-06-07,149.1,17.06,0.116845824
2007-06-08,151.04,14.84,0.113271397
2007-06-11,151.3,14.71,0.108119276
2007-06-12,149.65,16.67,0.114624803
2007-06-13,151.89,14.73,0.127008834
2007-06-14,152.86,13.64,0.12447439
2007-06-15,153.07,13.94,0.126284329
2007-06-18,152.89,13.42,0.124461877
2007-06-19,153.27,12.85,0.124488477
2007-06-20,151.14,14.67,0.133943299
2007-06-21,151.98,14.21,0.135860357
2007-06-22,150.55,15.75,0.139323645
2007-06-25,149.83,16.65,0.138109156
2007-06-26,148.29,18.89,0.138179792
2007-06-27,150.4,15.53,0.139089669
2007-06-28,150.38,15.54,0.139045692
2007-06-29,150.43,16.23,0.138029526
2007-07-02,151.79,15.4,0.14393911
